y,chord,t_over_c,sweep_deg,dFn_dy_[N_per_m],Fn_elem_[N],x_over_c_ac,x_ac
-17.75545497891,4.820262909,0.049989432499645416,0.0,25390.77802281189,9695.157334699657,0.25,1.20506572725
-17.39675891873,5.794254303000002,0.04410073849842897,-71.87100698961015,98089.54903825313,37454.291867748136,0.25,1.4485635757500006
-17.03806285855,6.4538307189999955,0.04185104816815698,-66.41637609112495,84970.52444063338,32444.953144947056,0.25,1.6134576797499989
-16.679366798369998,7.427818297999998,0.0389784070886544,-71.87100700507516,125743.76437228845,48013.7149933513,0.25,1.8569545744999996
-16.32067073819,8.127918244,0.03741342095984794,-66.41647363454598,107011.81968013686,40861.1515385356,0.25,2.031979561
-15.96197467801,8.787494659000004,0.03626311528640667,-66.41637606555663,115695.32289296208,44176.840793471914,0.25,2.196873664750001
-15.60327861783,9.761482239000003,0.034634787787580376,-71.87100700507523,165249.8046318123,63098.6121809423,0.25,2.4403705597500007
-15.244582557649998,10.421062470000003,0.033840655225435945,-66.4164736345456,137203.25727172324,52389.38188059975,0.25,2.6052656175000006
-14.88588649747,10.932918547999996,0.029797154498200706,-60.47789631460375,116870.94969390162,44625.7394759683,0.25,2.733229636999999
-14.527190437289999,11.023723601999997,0.020357454541248217,-25.527286516125145,64349.33480636795,24571.00466832844,0.25,2.7559309004999992
-14.16849437711,11.281223296999997,0.020491848653990886,-35.615755424709135,73097.51859570222,27911.39140851672,0.25,2.820305824249999
-13.80979831693,11.452884674000003,0.020333414269652843,-25.527286516126182,66854.49826157144,25527.570624106425,0.25,2.863221168500001
-13.45110225675,11.710380553999997,0.02046342095331363,-35.61535280355628,75877.89274955176,28973.043195897375,0.25,2.927595138499999
-13.09240619657,11.882045745999996,0.020452619348045393,-25.52728651612526,69359.66171677376,26484.13657988396,0.25,2.970511436499999
-12.733710136389998,12.053710937000005,0.02030263414205516,-25.52728638605621,70361.73147180233,26866.764631951424,0.25,3.0134277342500013
-12.37501407621,12.225372314000005,0.020570355553590377,-25.52728651612537,71363.77911573922,27249.384241169584,0.25,3.056343078500001
-12.016318016029999,12.482868194999995,0.020282468405331114,-35.61535280355614,80883.25821174668,30884.28063927357,0.25,3.1207170487499987
-11.65762195585,12.654533386000004,0.020541379913824338,-25.527286386056428,73868.94249085899,28205.950166368577,0.25,3.163633346500001
-11.29892589567,12.912025450999998,0.020393863908671754,-35.61535280355614,83664.00031430263,31946.07292335726,0.25,3.2280063627499995
-10.94022983549,13.083690642999997,0.02025645680213291,-25.52728651612526,76374.08375665398,29162.507649392937,0.25,3.2709226607499993
-10.58153377531,13.684616087999999,0.02037655154324122,-59.15139158523233,140576.94604377152,53677.58358178163,0.25,3.4211540219999996
-10.22283771513,14.625907898000001,0.0199962396339165,-69.06876047387156,215654.8130754569,82345.14676444145,0.25,3.6564769745000003
-9.86414165495,15.702953339000004,0.020370397204044058,-71.55236493859837,261395.58550871114,99810.70000399443,0.25,3.925738334750001
-9.50544559477,16.681743622,0.019996801426445037,-69.80739981534009,254568.63215840596,97203.91155551137,0.25,4.1704359055
-9.146749534589999,17.721282959,0.020370632940526708,-70.93312064300157,285751.8551562625,109110.84299714047,0.25,4.43032073975
-8.788053474409999,18.737575531000005,0.019997244312482444,-70.49765151319383,295646.782155464,112889.09957464418,0.25,4.684393882750001
-8.42935741423,19.422851562999995,0.01999737228702828,-62.31081945927292,220175.56104991288,84071.33896081675,0.25,4.855712890749999
-8.07066135405,20.793403626,0.019997602932117487,-75.29783703218149,431567.4971442232,164788.75840656186,0.25,5.1983509065
-7.71196529387,21.478679657,0.019997707216607985,-62.31081942478295,243480.2286022397,92969.94058498456,0.25,5.36966991425
-7.35326923369,22.849237442000003,0.019997892011927212,-75.29785666298618,474236.9872836145,181081.58015157277,0.25,5.712309360500001
-6.99457317351,23.534513474,0.019997978768923667,-62.31081942478295,266784.96128250204,101868.5670774562,0.25,5.8836283685
-6.63587711333,24.905069350999998,0.01999813489818698,-75.29783703218146,516905.19932844513,197373.9138718432,0.25,6.2262673377499995
-6.277181053149999,25.590345382,0.019998208181667126,-62.310819424782835,290089.67232252454,110767.18530686753,0.25,6.3975863455
-5.918484992969999,26.960899353,0.01999834270995878,-75.29785666298618,559574.721741975,213666.7479403383,0.25,6.74022483825
-5.559788932789999,27.646175384000003,0.019998405393534993,-62.31081942478308,313394.36175631953,119665.79528620573,0.25,6.911543846000001
-5.201092872609999,29.016731262,0.01999851924740895,-75.29783703218142,602242.8223530225,229959.03911098465,0.25,7.2541828155
-4.84239681243,29.702007293999998,0.019998573518295225,-62.310819459273176,336699.0732052433,128564.41367175097,0.25,7.425501823499999
-4.48370075225,31.072561263999997,0.019998673651983507,-75.2978566526975,644912.4557589701,246251.91556057383,0.25,7.768140315999999
-4.12500469207,31.757841109999998,0.01999871867581115,-62.31081942478295,360003.8054879401,137463.04001241707,0.25,7.939460277499999
-3.7663086318900003,32.522401809,0.02037144641840865,-64.81579122841178,402585.2093477519,153722.2270913778,0.25,8.13060045225
-3.4076125717099988,33.614906311,0.027282609631724346,-71.79652609860452,566808.7774193115,216428.983421927,0.25,8.40372657775
-3.048916511529999,34.323083877,0.03626221861911513,-63.824952547385315,409863.9370141346,156501.52002437145,0.25,8.58077096925
-2.690220451349999,35.142095565,0.044737226425557934,-67.1542002665463,476780.8834144756,182052.93570474538,0.25,8.78552389125
-2.3315243911699994,35.834079743,0.053434302406887964,-63.82495257846655,427907.2670622064,163391.14441874032,0.25,8.95851993575
-1.9728283309899997,36.166578293,0.06254610938789923,-45.49007671502484,271753.01801657444,103765.55864034852,0.25,9.04164457325
-1.6141322708099999,21.702848435,0.11356635247588873,87.04419475557499,2216978.5480528194,846526.0817023893,0.25,5.42571210875
-0.17934803009000078,8.823186874999998,0.011720809562927944,72.64372184184096,155797.06033979804,59489.19764967332,0.25,2.2057967187499994
0.17934803009000078,8.823186874999998,0.011720809562927944,0.0,46476.21584678012,17746.373291561464,0.25,2.2057967187499994
1.6141322708099999,21.702848435,0.11356635247588873,-72.64372184184096,383222.0755466191,146328.65181274072,0.25,5.42571210875
1.9728283309900014,36.166578293,0.06254610938789923,-87.04419475557499,3694470.2660664255,1410688.1823669695,0.25,9.04164457325
2.3315243911699994,35.834079743,0.053434302406887964,45.490076715024976,269254.64828647196,102811.58678521936,0.25,8.95851993575
2.690220451350001,35.142095565,0.044737226425557934,63.82495257846644,419644.04220525525,160235.9333020047,0.25,8.78552389125
3.048916511529999,34.323083877,0.03626221861911513,67.1542002665464,465669.16369903955,177810.061744623,0.25,8.58077096925
3.4076125717100005,33.614906311,0.027282609631724346,63.8249525473852,401407.3412622475,153272.47260184513,0.25,8.40372657775
3.766308631890002,32.522401809,0.02037144641840865,71.79652609860452,548387.1541259253,209394.9123891494,0.25,8.13060045225
4.12500469207,31.757841109999998,0.01999871867581115,64.8157912284119,393120.93820094044,150108.41117190666,0.25,7.939460277499999
4.483700752250002,31.072561263999997,0.019998673651983507,62.310819424782835,352235.53964361764,134496.82292718973,0.25,7.768140315999999
4.84239681243,29.702007293999998,0.019998573518295225,75.29785665269759,616466.5442992392,235390.19297439506,0.25,7.425501823499999
5.201092872610001,29.016731262,0.01999851924740895,62.31081945927305,328930.85058714374,125598.21309192695,0.25,7.2541828155
5.559788932789999,27.646175384000003,0.019998405393534993,75.29783703218149,573796.9084178405,219097.31557958524,0.25,6.911543846000001
5.918484992970001,26.960899353,0.01999834270995878,62.31081942478296,305626.1391584671,116699.59471411283,0.25,6.74022483825
6.277181053149999,25.590345382,0.019998208181667126,75.29785666298625,531128.8102420203,202805.02533880054,0.25,6.3975863455
6.63587711333,24.905069350999998,0.01999813489818698,62.310819424782835,282321.44972467335,107800.98473477509,0.25,6.2262673377499995
6.994573173510002,23.534513474,0.019997978768923667,75.29783703218138,488459.2854140126,186512.1903483667,0.25,5.8836283685
7.35326923369,22.849237442000003,0.019997892011927212,62.31081942478308,259016.73867331602,98902.3665010357,0.25,5.712309360500001
7.711965293870001,21.478679657,0.019997707216607985,75.29785666298612,445790.99662390805,170219.8273238542,0.25,5.36966991425
8.07066135405,20.793403626,0.019997602932117487,62.31081942478308,235712.0060043894,90003.74001289248,0.25,5.1983509065
8.429357414230001,19.422851562999995,0.01999737228702828,75.29783703218142,403121.66238943517,153927.06510922525,0.25,4.855712890749999
8.788053474409999,18.737575531000005,0.019997244312482444,62.310819459273034,212407.33843181567,81105.13838099362,0.25,4.684393882750001
9.14674953459,17.721282959,0.020370632940526708,70.49765151319374,279611.42965517775,106766.19679206818,0.25,4.43032073975
